Date,Player,Angel,Alice,Aladdin,Anger,Animal,Barbossa,Basil,Baymax,Beast,Belle,Bogo,Bo.Peep,Buzz,Calhoun,Cheshire.Cat,Colette,Dark.Wing,Dash,Davy.Jones,Donald,Ducky.Bunny,Duke.Caboom,Eeyore,Elasticgirl,Elsa,Eve,Evil.Queen,Facilier,Felix,Finnick,Flynn,Flynn.Rider,Frozone,Gaston,Genie,Gerald.M.N,Gizmo,Goliath,Gonzo,Goofy,Hades,Hank.Dory,Hercules,Hiro,Hook,Huey.D.L,Jack.Jack,Jack.Sparrow,Jafar,Jasmine,Joy,Judy.Hopps,Jumba,Kida,King.Louie,Kristoff.Sven,Launchpad,Linguini,Li.Shang,Madam.Mim,Mad.Hatter,Magica,Maleficent,Maximus,Megara,Megavolt,Merida,Merlin,Mickey,Miguel,Mike,Minnie,Miss.Piggy,Moana,Mr.Incredible,Mulan,Mushu,Nick.Wilde,Olaf,Oogie,Peter.Pan,Pleakley,Pooh,Powerline,Quorra,Queen.of.Hearts,Rafiki,Randall,Rapunzel,Rex,Robin.Hood,Scar,Scrooge,Shank,Shan.Yu,Simba.Nala,Stitch,Sulley,Syndrome,Tia.Dalma,Tigger,Timon.Pumbaa,Tron,Ursula,Violet,WallE,Woody,Yax,Yzma,Zurg
2020-01,disco/shadow.vengeance,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,ga,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,disney.momma/avengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,,,,,,,,,,,,,,,,,,,,,,,,,,,el,,su,,,,,mi,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,dn.mtango,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,,jo,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,,,,,,,,,,,,,,
2020-01,dn.mtango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,,,,,,,,,,,,,,,,fi,,,,,,,,,,,,,,,,,,,,,ja,yz,,,,,,,,,,,,,,,,,,,,,mi,
2020-01,dn.mtango,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,qh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,dn.rap.n.shel/dark.ninjas,,,,,go,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,dn.scar/dark.ninjas,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,dr.doom,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,yz,,,,,,,,,,,,,,,,,,,,,mi,
2020-01,durion/xoulas,,,,,,,,,su,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,mi,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,eikko/disney.aspana,,,,,,,,ol,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,eikko/disney.aspana,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,eikko/disney.aspana,,,,,go,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,ca,,,,,du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bu,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,evi/esm.x.tw,,,,,go,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,
2020-01,evi/esm.x.tw,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,da,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,evi/esm.x.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,jo,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,evil.sparkles/destiny,,,,,go,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,fade.divine/dens.of.dragons,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,ja,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,fade.divine/dens.of.dragons,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,ja,ga,,,,,,,,,,,,,,st,,,,,,,,
2020-01,fade.divine/dens.of.dragons,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,ur,
2020-01,feisty.peach/dark.ninjas,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,ja,,,,,,,,,,,,,,,,,,,,,
2020-01,fellow.tron/pixar.studios,,,,,,,,,,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,su,,,me,,,,,,,,,,,,,,ga,,,,,,,,,,wo,,,,,,,,,,,,
2020-01,fluke182/glitches,,,,,go,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,ro,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gaera.leonhart/glitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,gaera.leonhart/glitches,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gaera.leonhart/glitches,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,ra,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,
2020-01,general.sparkles/howling,,,,,,,,,su,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ro,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,ggininder,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,ggininder,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,ggininder,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,jo,,,,,,,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,
2020-01,goddess/the.brotherhood,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,ga,ja,,,,,,,,,,,,,,,,,,,,,
2020-01,goddess/the.brotherhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,du,,,,,,ba,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,goddess/the.brotherhood,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,goddess/the.brotherhood,,,,,,,,,su,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,he,,,,,,,,,,,,,,,,,
2020-01,goddevil/monsters.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,gp.faith,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,,,al,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,gp.faith,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,jo,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,gp.faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,ja,,,zu,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,grandpa.fatih/home,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,grandpa.fatih/home,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,ja,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,grandpa.fatih/home,,,,,,,,,su,,,,,,,,,,,an,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,grandpa.fatih/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,st,,,,,,,,
2020-01,gravey/dark.ninjas,,,,,go,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gravey/dark.ninjas,,,,,go,,,,,,,,,,,,,,,an,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gravey/dark.ninjas,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,me,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gravey/dark.ninjas,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,ba,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gravey/dark.ninjas,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,gravey/dark.ninjas,,,,ha,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,sh,,,,,,,,qh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,gravey2020,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,gravey2020,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,gravey2020,,,,,,,,,,,,,,,,,,,,an,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,qh,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,grizzled/russian.bears,,,,,go,,,,,,,,,,,,,,,an,,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,groot/french.fusion,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,grumpy.bear/glitches,,,,,go,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,h.shy,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,mh,,,,,,,,,,,,,
2020-01,h.shy,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,h.shy,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,ba,do,,,,,,,,,,,,mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,hanbb/e.x.tw,,,,,,,,,,,,,,,,,,,,sc,,wo,,,,,,,,,,,,,,,,,,je,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,,
2020-01,hanbb/e.x.tw,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,hanbb/e.x.tw,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,hanbb/e.x.tw,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,hattie/dens.of.dragon,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,hattie/dens.of.dragon,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jo,,,,,,,,,,,,,,,,,,,sh,,,,,,,,qh,,,,,,,,ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,hattie/dens.of.dragon,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,high.k/polish.hussars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,ba,,,,ni,,,,,,,,,,,,,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,,,,,,
2020-01,i.dj,,,,zu,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,du,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,i.dj,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,i.dj,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,i.gadget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,,,,,,,,,,,,,,,,,,zu,,,,,,,,me,,,,,,,,,,,,,,ga,,,,,none,,,,,,,,,,,,,,,,,
2020-01,i.gadget,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,,,,,,,,wo,,,,,,,,,,,,
2020-01,i.gadget,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,none,,,,,,st,,,,,,,,
2020-01,ianformer/oh.canada,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,bu,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,il.una.tic.11,,,,zu,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,il.una.tic.11,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,il.una.tic.11,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo,,,,,,,,,ga,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,il.una.tic/den.of.dragons,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,ilimilku/glitches,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,sc,al,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hu,,,,,,,,,,,,,,,,,
2020-01,ilimilku/glitches,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,bo,,,,,,,,,,,,,,,,,,,,,
2020-01,ilimilku/glitches,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,al,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,
2020-01,impulse,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,ba,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,inspector.gadget,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,invisible,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,jab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,,,sc,,an,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,jab,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,jab,,,,,,,,wa,su,,,,,,,,,,,,me,,,,,,,,,,,,,ca,,,,,,je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,jaesyn/ascension,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ra,,,,,,,,ga,bo,,,,,,,,,,,,,,,,,,,,mi,
2020-01,jaesyn/ascension,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,,,ga,ja,,,,,,,,,,,,,,,,,,,,,
2020-01,jaesyn/ascension,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,ja,,,,,,,,,,,,,,,,,,,,,
2020-01,jaesyn/ascension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,jaesyn/ascension,,,,,,,,,su,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,jagged.julian,,,,,,,,,,,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,mi,ma,,,,,,,,,,,,,
2020-01,jagged.julian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,jagged.julian,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,hi,,,,,,ur,,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,jazzy.blue/dark.ninjas,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,al,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,jazzy.blue/dark.ninjas,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,du,je,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,jazzy.blue/dark.ninjas,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,,,,,,,da,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,jjjavier/supernova,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,,el,,,,,,,me,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,josefine,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,ja,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,josefine,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,du,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,josefine,,,,,,,,,su,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,ma,,,,,st,,,,,,,,
2020-01,jtw,,,,,,,,ol,su,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
